time,latitude,longitude,elevation
1746790787.135,48.014274,7.831756,296.774028
1746790866.967,48.01411,7.8317,296.774028
1746790874.938,48.014114,7.831553,296.774028
1746790882.938,48.014144,7.831426,296.774028
1746790892.943,48.014217,7.831329,296.774028
1746790900.959,48.014288,7.831224,296.774028
1746790906.93,48.014366,7.831118,296.774028
1746790913.943,48.014441,7.83103,296.774028
1746790921.959,48.014523,7.831091,296.774028
1746790928.927,48.014586,7.831188,296.774028
1746790935.903,48.014654,7.831291,296.774028
1746790943.945,48.014606,7.831407,296.774028
1746790950.933,48.014532,7.831505,296.774028
1746790963.937,48.014468,7.831621,296.774028
1746790971.961,48.014388,7.831701,296.774028
1746790977.928,48.014297,7.831765,296.774028
1746790985.953,48.014212,7.831835,296.774028
1746790991.934,48.014194,7.831981,296.774028
1746790998.95,48.014174,7.832118,296.774028
1746791005.945,48.014176,7.832273,296.774028
1746791012.946,48.01418,7.832413,296.774028
1746791020.954,48.014186,7.832565,296.774028
1746791024.945,48.014183,7.832735,296.774028
1746791029.949,48.014121,7.83284,296.774028
1746791036.96,48.014021,7.832847,296.774028
1746791044.944,48.013927,7.832872,296.774028
1746791052.954,48.013836,7.832848,296.774028
1746791060.949,48.013812,7.832713,296.774028
1746791067.966,48.013808,7.832574,296.774028
1746791074.929,48.013809,7.832433,296.774028
1746791081.951,48.013817,7.832289,296.774028
1746791088.946,48.013822,7.832152,296.774028
1746791095.942,48.013832,7.832011,296.774028
1746791103.952,48.013871,7.831881,296.774028
1746791114.93,48.01397,7.831868,296.774028
1746791118.932,48.014052,7.831795,296.774028
