timestamp,date,time,battery_voltage_mV,temperature_celsius,measurement_µV,gain_factor,latitude,longitude,elevation
1746900873,10.5.2025,18:14,4183,21.75,14181,8,48.0087902,7.8171918,296.998199
1746900875,10.5.2025,18:14,4183,21.75,49074,4,48.0087915,7.8171682,296.998199
1746900878,10.5.2025,18:14,4183,21.75,58726,4,48.0087935,7.8171329,296.998199
1746900880,10.5.2025,18:14,4183,21.75,59433,4,48.0087949,7.8171094,296.998199
1746900882,10.5.2025,18:14,4183,21.75,62785,4,48.0087962,7.8170858,296.998199
1746900884,10.5.2025,18:14,4183,21.75,87515,2,48.0087975,7.8170623,296.998199
1746900887,10.5.2025,18:14,4183,21.75,51960,4,48.0087995,7.817027,296.998199
1746900889,10.5.2025,18:14,4183,21.75,46722,4,48.0088009,7.8170035,296.998199
1746900891,10.5.2025,18:14,4183,21.75,29269,4,48.0088022,7.8169799,296.998199
1746900894,10.5.2025,18:14,4183,21.75,22771,8,48.008803,7.8169188,296.998199
1746900896,10.5.2025,18:14,4183,21.75,37632,4,48.008803,7.8168668,296.998199
1746900898,10.5.2025,18:14,4183,21.75,66183,4,48.008803,7.8168148,296.998199
1746900901,10.5.2025,18:15,4183,21.75,382671,1,48.0087956,7.8167611,296.998199
1746900903,10.5.2025,18:15,4183,21.75,187062,1,48.0087904,7.8167264,296.998199
1746900905,10.5.2025,18:15,4183,21.75,90882,2,48.0087851,7.8166917,296.998199
1746900907,10.5.2025,18:15,4183,21.75,74234,2,48.0087746,7.8166627,296.998199
1746900910,10.5.2025,18:15,4183,21.75,75968,2,48.0087473,7.816632,296.998199
1746900912,10.5.2025,18:15,4183,21.75,88312,2,48.0087291,7.8166116,296.998199
1746900914,10.5.2025,18:15,4183,21.75,85882,2,48.0087109,7.8165911,296.998199
1746900917,10.5.2025,18:15,4183,21.75,74210,2,48.0087082,7.8165506,296.998199
1746900919,10.5.2025,18:15,4183,21.75,61726,2,48.0087077,7.8165231,296.998199
1746900921,10.5.2025,18:15,4183,21.75,59445,4,48.0087071,7.8164956,296.998199
