timestamp,date,time,battery_voltage_mV,temperature_celsius,measurement_µV,gain_factor
1746731786,8.5.2025,19:16,4189,23.75,9765,8
1746731788,8.5.2025,19:16,4189,23.75,10353,8
1746731791,8.5.2025,19:16,4189,23.75,10431,8
1746731793,8.5.2025,19:16,4189,23.75,5755,8
1746731795,8.5.2025,19:16,4189,23.75,12037,8
1746731798,8.5.2025,19:16,4189,23.75,9859,8
1746731800,8.5.2025,19:16,4189,23.75,9132,8
1746731802,8.5.2025,19:16,4189,23.75,11666,8
1746731804,8.5.2025,19:16,4189,23.75,7181,8
1746731807,8.5.2025,19:16,4189,23.75,10056,8
1746731809,8.5.2025,19:16,4189,23.75,11201,8
1746731811,8.5.2025,19:16,4189,23.75,12552,8
1746731814,8.5.2025,19:16,4189,24.00,12560,8
1746731816,8.5.2025,19:16,4189,24.00,10933,8
1746731818,8.5.2025,19:16,4189,24.00,14343,8
1746731821,8.5.2025,19:17,4189,24.00,13785,8
1746731823,8.5.2025,19:17,4189,24.00,12380,8
1746731825,8.5.2025,19:17,4189,24.00,11109,8
